万科翡翠公园(公寓),82939元/m2,7套在售二手房
水岸秀苑,42387元/m2,32套在售二手房
新都花园,67941元/m2,3套在售二手房
保利林语溪(公寓),57892元/m2,18套在售二手房
涵合园(公寓),79440元/m2,25套在售二手房
新里城和合苑,79988元/m2,39套在售二手房
香楠小区,58364元/m2,60套在售二手房
新城盛景园,36235元/m2,35套在售二手房
同润菲诗艾伦,35611元/m2,126套在售二手房
新家坡美树馆,85616元/m2,18套在售二手房
金禾新苑,62171元/m2,13套在售二手房
九歌上郡,72954元/m2,14套在售二手房
大华锦绣华城(十二街区),79826元/m2,32套在售二手房
阳光威尼斯(三期),48285元/m2,19套在售二手房
御桥花园,55620元/m2,17套在售二手房
绿地东上海,50709元/m2,39套在售二手房
锦绣满堂花园,87519元/m2,21套在售二手房
三湘四季花城,46123元/m2,53套在售二手房
秋月枫舍,78802元/m2,23套在售二手房
申江豪城,68469元/m2,12套在售二手房
汇翠花园,86401元/m2,20套在售二手房
卓悦居,96997元/m2,19套在售二手房
新天地河滨花园,100980元/m2,24套在售二手房
静安四季苑,132049元/m2,5套在售二手房
君御豪庭,119472元/m2,6套在售二手房
世纪之门,74486元/m2,26套在售二手房
宝宸怡景园,59415元/m2,13套在售二手房
万达城市公寓,53412元/m2,18套在售二手房
盛华景苑,45256元/m2,5套在售二手房
竹园新村(浦东),79434元/m2,38套在售二手房
金地未未来,78208元/m2,19套在售二手房
恒阳花苑,77163元/m2,17套在售二手房
汇贤居,107949元/m2,3套在售二手房
瑞和苑,35784元/m2,23套在售二手房
陆家嘴花园(一期),100246元/m2,13套在售二手房
徐汇苑,96803元/m2,17套在售二手房
文化名园,63135元/m2,12套在售二手房
澜茵华庭,47750元/m2,27套在售二手房
上南花苑(三期),67625元/m2,11套在售二手房
歌林春天馨园,78552元/m2,24套在售二手房
香溢花城(住宅),77360元/m2,29套在售二手房
黄浦新苑(公寓),91101元/m2,21套在售二手房
象源丽都,65734元/m2,19套在售二手房
春港丽园(公寓),49169元/m2,42套在售二手房
达安锦园,104879元/m2,17套在售二手房
万源城尚郡,85094元/m2,21套在售二手房
爱建园,80161元/m2,10套在售二手房
卢湾都市花园,92282元/m2,14套在售二手房
仁恒西郊花园,63483元/m2,24套在售二手房
东方悦居,61975元/m2,20套在售二手房
上城Uptown,79418元/m2,14套在售二手房
东城新村,75617元/m2,44套在售二手房
春申府邸,51417元/m2,13套在售二手房
玉兰香苑(二期),50587元/m2,16套在售二手房
古北瑞仕花园,106312元/m2,11套在售二手房
西雅图嘉萱苑,90706元/m2,8套在售二手房
香榭丽花园,73304元/m2,9套在售二手房
中友嘉园,71853元/m2,11套在售二手房
达安春之声,73047元/m2,13套在售二手房
艺泰安邦,28582元/m2,132套在售二手房
虹桥万博花园,85979元/m2,12套在售二手房
经纬城市绿洲,49352元/m2,9套在售二手房
财富海景花园,123689元/m2,18套在售二手房
锦馨苑,73394元/m2,20套在售二手房
老西门新苑,92254元/m2,6套在售二手房
欣佳宝邸,35177元/m2,20套在售二手房
中海馨园,83121元/m2,11套在售二手房
和欣国际花园,60484元/m2,24套在售二手房
钦州花苑,56982元/m2,28套在售二手房
新城尚上城,32427元/m2,20套在售二手房
古北国际花园,105427元/m2,9套在售二手房
尚汇豪庭,105877元/m2,3套在售二手房
中浩云花园,69834元/m2,11套在售二手房
中邦城市,50468元/m2,13套在售二手房
新家坡园景苑,90628元/m2,18套在售二手房
黄浦众鑫城,91046元/m2,9套在售二手房
东方知音苑,86691元/m2,13套在售二手房
佳龙花园,80424元/m2,17套在售二手房
瑞虹新城璟庭,105169元/m2,20套在售二手房
贵龙园,70841元/m2,11套在售二手房
金都花好悦园,46277元/m2,24套在售二手房
上海滩花园洋房,92518元/m2,6套在售二手房
山水国际,106036元/m2,10套在售二手房
绿地香颂(奉贤)(公寓),19875元/m2,59套在售二手房
保利湖畔阳光苑,33360元/m2,32套在售二手房
新江湾城雍景苑,72999元/m2,14套在售二手房
紫勋风雅苑,90567元/m2,4套在售二手房
大华锦绣华城(十五街区),85549元/m2,21套在售二手房
潍坊九村,98678元/m2,38套在售二手房
绿地世纪城(一期),83360元/m2,5套在售二手房
西班牙名园,65817元/m2,11套在售二手房
大华朗香花园,52177元/m2,11套在售二手房
大华锦绣华城(十六街区)(公寓),78025元/m2,31套在售二手房
金港花园(公寓),34203元/m2,77套在售二手房
盘古天地,37587元/m2,23套在售二手房
宏润花园,92506元/m2,9套在售二手房
南杨小区(长清路),53809元/m2,25套在售二手房
中房樱桃苑,75138元/m2,5套在售二手房
文宝苑,47488元/m2,32套在售二手房
保利叶语(一期)(公寓),54740元/m2,14套在售二手房
中冶尚城,64708元/m2,17套在售二手房
绿洲雅宾利花园(一期),95050元/m2,6套在售二手房
上海大花园,73722元/m2,14套在售二手房
仁恒森兰雅苑,72002元/m2,20套在售二手房
品尊国际,84353元/m2,18套在售二手房
绿地蔷薇九里(公寓),42774元/m2,45套在售二手房
滨江雅苑,56761元/m2,13套在售二手房
三林苑,51109元/m2,21套在售二手房
紫竹半岛花园,65950元/m2,14套在售二手房
文华苑(宝山),50990元/m2,33套在售二手房
大同花园南区,83378元/m2,15套在售二手房
碧云新天地(一期),73551元/m2,22套在售二手房
欧风花都,66703元/m2,13套在售二手房
盛世宝邸(一期),65156元/m2,15套在售二手房
欧风家园,37704元/m2,11套在售二手房
金外滩花园,105322元/m2,7套在售二手房
连城新苑,55350元/m2,12套在售二手房
世博花园,83668元/m2,11套在售二手房
好世凤凰城,53132元/m2,12套在售二手房
新福康里(公寓),98196元/m2,18套在售二手房
电影华苑,95623元/m2,7套在售二手房
阳光美景城,66349元/m2,16套在售二手房
好世鹿鸣苑,76330元/m2,20套在售二手房
康泰新城,50242元/m2,25套在售二手房
水清木华,100501元/m2,13套在售二手房
金地艺境(宝山),42225元/m2,26套在售二手房
聚丰景都,44922元/m2,13套在售二手房
上南翡翠苑,69074元/m2,5套在售二手房
路劲上海派,33699元/m2,18套在售二手房
香港丽园,74707元/m2,10套在售二手房
幸福小镇(公寓),52633元/m2,57套在售二手房
淮海晶华苑,98051元/m2,6套在售二手房
紫晶苑,45831元/m2,17套在售二手房
东方汇景苑,75741元/m2,6套在售二手房
徐汇馨苑,91559元/m2,1套在售二手房
虹桥花苑,68264元/m2,17套在售二手房
阳光名苑,107782元/m2,6套在售二手房
汤臣一品,127347元/m2,1套在售二手房
